id,question,student_answer,correct_answer,grade_level,subject,misconception_type,expected_feedback,generated_feedback,rouge1_score,rouge2_score,rougeL_score
84,Solve: x + 9 = 20.,x = 29.,x = 11.,Grade 6,Math,Basic algebra error,Almost there! To find x subtract 9 from both sides: x = 20 - 9 = 11. It looks like you added 9 to 20 instead of subtracting. Remember: to cancel addition on one side subtract from both sides!,It is a total of 1 and 2. The number in the first place will be 3: 5 + 4 = 9!,0.10714285714285714,0.0,0.07142857142857142
54,What is 7/8 - 3/8?,The answer is 4/0.,The answer is 4/8 which simplifies to 1/2.,Grade 5,Math,Fraction addition error,Good effort! When fractions have the same denominator just subtract the numerators. So 7/8 - 3/8 = 4/8. Then simplify by dividing both by 4 to get 1/2. Also remember that 0 in the denominator is never allowed. Remember: subtract numerators keep the denominator then simplify!,"It is a 1 and 2. The 4 or 5 of the 8 are not in to 3: 10 + 7 = 6! You can do it for 9/0, 30 * 15- 12= 4. This has that number as one so 20+ 13 25's will be 3. So 40 (5)",0.30927835051546393,0.0,0.12371134020618557
71,What is 7 × 8?,7 × 8 = 54.,7 × 8 = 56.,Grade 4,Math,Multiplication and division confusion,Almost there! You might have confused 7 × 8 with 6 × 9 = 54. The correct answer is 7 × 8 = 56. You can verify: 8+8+8+8+8+8+8 = 56. Remember: 7 × 8 = 56 is one of the tricky ones so practice it extra!,It is a number. You are in 1 and 2 = 4: 7 + 8!,0.17543859649122806,0.03636363636363636,0.14035087719298245
46,What is hibernation?,Hibernation is when animals migrate to warmer places.,Hibernation is a state of deep sleep that some animals enter during winter to conserve energy.,Grade 4,Science,Habitat and adaptation confusion,Good effort! Migration is when animals travel to new places. Hibernation is different. It is when animals like bears go into a very deep sleep during cold winter months when food is scarce. They slow their heartbeat and live off stored fat. Remember: hibernation = deep winter sleep to save energy!,"It is a state of the air. You are not in it and you have to do so! So there's that for all animals, which can be as at one place or when they go with them on more places: we will find an area from water but only make up what does just get back into your body because this means no way out by being very long (no time). The first form has about two times over 2 = 1 + 3 * 4 > 5",0.17777777777777776,0.015037593984962407,0.08888888888888888
45,Why do cacti have thick stems?,Cacti have thick stems to make them taller than other plants.,Cacti have thick stems to store water allowing them to survive in dry desert environments.,Grade 5,Science,Habitat and adaptation confusion,Almost there! Height is not why cacti have thick stems. Cacti live in very dry deserts where water is scarce. Their thick stems store large amounts of water so the plant can survive long periods without rain. Remember: cactus thick stem = water storage for desert survival!,"It is a way to get the water in it. You are not and you can do that for all of them! They will be more than other plants, so they may have as long or less when there's just one plant at an area on your body which has only about two leaves from each place with its side: because this means we make up by being very small like what was left over (no matter how large). The first part would look different but also go back down into their form",0.22857142857142854,0.0,0.0857142857142857
40,What is a habitat?,A habitat is the food an animal eats.,"A habitat is the natural environment where an organism lives, including its shelter food and water sources.",Grade 3,Science,Habitat and adaptation confusion,Good try! Food is part of a habitat but a habitat is much more than just food. It is the complete natural home of an animal including where it sleeps finds water and raises its young. Remember: habitat = the complete natural home of an organism!,"It is a habitat. The food and water are in the environment that it has to be for an animal, which will not have all of this! You can do so on at one place: there's just as you get when they go out with them because we make up what was like by your body or from its shelter (no animals). This means more than only where each other does but also how many things take over into different places- no matter who comes down through their land",0.2814814814814815,0.07518796992481203,0.11851851851851852
23,What is gravity?,Gravity is a force that pushes things up into the sky.,Gravity is a force that pulls all objects toward the center of the Earth.,Grade 4,Science,Gravity and force confusion,Good effort! Gravity actually does the opposite of pushing things up. It is a pulling force that draws all objects downward toward the center of the Earth. That is why things fall when you drop them. Remember: gravity pulls everything down toward Earth!,"It is a force that can be in the sky. You are and it will not have to get up from there! The air has for all of your things, so you's just as we do when they go on with one or both by at this point: an area which makes them look like more than what was left over into their body (no part) but only about how many objects were made out",0.2521008403361345,0.05128205128205128,0.1680672268907563
81,Solve: 3x = 18.,x = 15.,x = 6.,Grade 6,Math,Basic algebra error,Good effort! 3x = 18 means 3 times x equals 18. To find x divide both sides by 3: x = 18 ÷ 3 = 6. You may have subtracted 3 from 18 instead of dividing. Remember: to cancel multiplication divide both sides by the same number!,You are not a first. It is in the form of 2 and 1: 3 + 4 = 7!,0.13333333333333333,0.0,0.06666666666666667
11,What does the stomach do?,The stomach sends messages to the brain.,The stomach breaks down food using acids and enzymes.,Grade 4,Science,Confusion between body organs/functions,Good effort! Sending messages to the brain is the job of the nervous system not the stomach. The stomach is part of the digestive system and it breaks down the food you eat using special acids and enzymes. Remember: stomach = digesting food!,"It is a form of the body. You are not in it and you can do that! The stomach does so to make food for ons, which means there will be no water at all when they get into your head or back with one side as well: we go up from an area by this place because just have more than 1 part (no 2 = 4 + 3 * 5)",0.2162162162162162,0.03669724770642202,0.14414414414414414
1,What do plants need to make their own food?,Plants only need water to make food.,"Plants need sunlight, water, and carbon dioxide to make food.",Grade 4,Science,Misunderstanding of photosynthesis,Good try! You remembered water which is correct. However plants need three things not just one. They also need sunlight for energy and carbon dioxide from the air. Remember: sunlight + water + carbon dioxide = food for the plant!,"It is a way to make food. You have the water and air in it so you can do that! The plants are not there for all of them, but they will be on your body as we get at this time with one or more things from each place (so an area) has just about two people by 1: 2 = 4 + 3 * 5 > 10",0.3137254901960784,0.0,0.11764705882352941
19,What happens to matter when it is cooled?,Matter expands when it is cooled.,Matter contracts or shrinks when it is cooled.,Grade 5,Science,Misunderstanding of states of matter,Almost there! Expansion happens when matter is heated not cooled. When matter loses heat its particles slow down and move closer together causing it to contract or shrink. Remember: heat = expand and cold = contract!,"It is a way to get in and it's not. You are at the end of that as you can do so! So there will be no matter for which one has or what does have on your body, because they make up with them all: just like when this comes out from an area (no part). This means we need only use more than 1 form by 2 = 4 + 3 * 5 > 10",0.16666666666666669,0.0,0.07407407407407408
31,What is a decomposer in an ecosystem?,A decomposer is an animal that eats live plants.,A decomposer is an organism such as bacteria or fungi that breaks down dead plants and animals returning nutrients to the soil.,Grade 6,Science,Food chain/ecosystem confusion,Good effort! Decomposers do not eat live plants. They break down dead and decaying matter like fallen leaves or dead animals. Bacteria and fungi are common decomposers. They are very important because they return nutrients to the soil. Remember: decomposers recycle dead matter back into the soil!,"It is a body in the soil. You are not an animal and it can be to have one or both of them as they do that for you! So there's just so we get on with all at once, which will make up more water from your plant by decomposing food into what has left out its nutrients when this comes back down (no plants). The animals may look like people but only take off some things because each other does no matter where-in their environment? This was right: first find how many leaves go through every place around us; then add about 2 times 3 = 5 + 4 * 1= 10",0.25,0.012658227848101266,0.08750000000000001
74,What is the value of the digit 4 in 4823?,The value is 4.,The value is 4000.,Grade 5,Math,Place value misunderstanding,Almost there! The digit 4 is in the thousands place so its value is 4 × 1000 = 4000 not just 4. The value of a digit depends on its position. Remember: always multiply the digit by its place value to find its actual value!,It is a number. The value of the 1 and 2 are in 4: 5 + 3 = 7!,0.26666666666666666,0.06896551724137931,0.16666666666666666
34,What causes rain to fall?,Rain falls because clouds become too cold.,Rain falls when water droplets in clouds combine and become heavy enough to fall due to gravity.,Grade 5,Science,Water cycle misunderstanding,Almost there! Temperature plays a role but rain forms mainly because tiny water droplets in clouds combine and grow heavy. Once they are heavy enough gravity pulls them down as rain. Remember: rain falls when droplets become too heavy to stay in the clouds!,"It is a way to get water in the air. You are not and it will be so that you can have all of them! The rain comes from there for at one place, which means they make up on an area with more than 1 or 2 by just as 3: when we do go out into your form",0.25,0.0196078431372549,0.13461538461538464
91,What is the sum of angles in a quadrilateral?,The sum is 180 degrees.,The sum of angles in a quadrilateral is 360 degrees.,Grade 7,Math,Geometry angle confusion,Almost there! 180 degrees is the sum for a triangle. A quadrilateral has one more side and one more angle. You can divide any quadrilateral into two triangles each with 180° so total = 2 × 180 = 360 degrees. Remember: triangle = 180° and quadrilateral = 360°!,It is a number. The sum of angles are in and it can be the same as that for to have 1 or 2: 3 + 4 = 7!,0.22857142857142856,0.029411764705882353,0.17142857142857143
5,What do plants release into the air during photosynthesis?,Plants release carbon dioxide into the air.,Plants release oxygen into the air during photosynthesis.,Grade 5,Science,Misunderstanding of photosynthesis,Good try! You might be thinking of animals which do release carbon dioxide. But plants are the opposite. During photosynthesis plants take in carbon dioxide and release oxygen into the air. Remember: plants give us the oxygen we breathe!,"It is in the air. You are a place to make it and you can not have that for all of them! The water will be there when they go on at one time, which means so just get up from your body as we do with food: like carbon dioxide or oxygen by an animal's way through this form (no matter how long). So what does then look out into our environment?",0.2831858407079646,0.036036036036036036,0.1415929203539823
77,Write 5 hundreds 3 tens and 2 ones as a number.,The number is 5320.,The number is 532.,Grade 3,Math,Place value misunderstanding,Almost there! Let us build the number carefully. 5 hundreds = 500. 3 tens = 30. 2 ones = 2. Add them: 500 + 30 + 2 = 532. You placed an extra zero. Remember: 5 hundreds + 3 tens + 2 ones = 532!,This is a number. The 1 and 2 of the 3 are not in it! It has to be 4 or 7 for 5: 8 + 6 = 9,0.15873015873015875,0.0,0.09523809523809525
78,What is the value of the digit 2 in 8241?,The value is 200.,The value is 200.,Grade 5,Math,Place value misunderstanding,Excellent work! You got it right. In 8241 the digit 2 is in the hundreds place and its value is 2 × 100 = 200. Remember: always identify the place position first then multiply to find the value!,"It is a number. The value of the 1 and 2 are in it! You will have to find one for that: 3 or 4 = 5 on at first, so 10 + 8 * 7= 9 (2+ 6)- 30 20's with 15/9",0.3333333333333333,0.05263157894736842,0.1794871794871795
13,What does the brain control?,The brain helps us digest food.,The brain controls all body functions including movement thinking and senses.,Grade 3,Science,Confusion between body organs/functions,Good try! Digesting food is the job of the stomach and digestive system. The brain is the control center of your whole body. It controls how you move think feel and respond to the world around you. Remember: brain = control center of the body!,"It is a form of the brain. You are not in it and you have to do that! The body can be at or on your head for as one's part, which means there will only go out from an area so they make up with all other things when we get into food: what does this look like? This has more than just water but no matter how well our bodies use by us (no way). So right over where each person comes down because both people take them back through their life; then find another place about its side-toed off without being left before making any change between two different ones",0.1761006289308176,0.03821656050955414,0.11320754716981132
32,What is a herbivore?,A herbivore is an animal that eats only meat.,A herbivore is an animal that eats only plants.,Grade 3,Science,Food chain/ecosystem confusion,Almost there! An animal that eats only meat is called a carnivore. A herbivore is the opposite. It eats only plants. Cows rabbits and elephants are examples of herbivores. Remember: herbivore = plant eater and carnivore = meat eater!,"It is a plant. You are not an animal and it can be in the water to have that food for all of them! So there's just so you will get on with this one as we do, which means they make up at your place: when or where (no plants). The herbivore comes from what has been left over by its body but no animals because 1-int = 2 + 4 * 3+ 5= 10",0.25,0.01818181818181818,0.08928571428571429
