id,question,student_answer,correct_answer,grade_level,subject,misconception_type,expected_feedback,FlanT5_Small_FineTuned
84,Solve: x + 9 = 20.,x = 29.,x = 11.,Grade 6,Math,Basic algebra error,Almost there! To find x subtract 9 from both sides: x = 20 - 9 = 11. It looks like you added 9 to 20 instead of subtracting. Remember: to cancel addition on one side subtract from both sides!,It is a total of 1 and 2. The number in the first place will be 3: 5 + 4 = 9!
54,What is 7/8 - 3/8?,The answer is 4/0.,The answer is 4/8 which simplifies to 1/2.,Grade 5,Math,Fraction addition error,Good effort! When fractions have the same denominator just subtract the numerators. So 7/8 - 3/8 = 4/8. Then simplify by dividing both by 4 to get 1/2. Also remember that 0 in the denominator is never allowed. Remember: subtract numerators keep the denominator then simplify!,"It is a 1 and 2. The 4 or 5 of the 8 are not in to 3: 10 + 7 = 6! You can do it for 9/0, 30 * 15- 12= 4. This has that number as one so 20+ 13 25's will be 3. So 40 (5)"
71,What is 7 × 8?,7 × 8 = 54.,7 × 8 = 56.,Grade 4,Math,Multiplication and division confusion,Almost there! You might have confused 7 × 8 with 6 × 9 = 54. The correct answer is 7 × 8 = 56. You can verify: 8+8+8+8+8+8+8 = 56. Remember: 7 × 8 = 56 is one of the tricky ones so practice it extra!,It is a number. You are in 1 and 2 = 4: 7 + 8!
46,What is hibernation?,Hibernation is when animals migrate to warmer places.,Hibernation is a state of deep sleep that some animals enter during winter to conserve energy.,Grade 4,Science,Habitat and adaptation confusion,Good effort! Migration is when animals travel to new places. Hibernation is different. It is when animals like bears go into a very deep sleep during cold winter months when food is scarce. They slow their heartbeat and live off stored fat. Remember: hibernation = deep winter sleep to save energy!,"It is a state of the air. You are not in it and you have to do so! So there's that for all animals, which can be as at one place or when they go with them on more places: we will find an area from water but only make up what does just get back into your body because this means no way out by being very long (no time). The first form has about two times over 2 = 1 + 3 * 4 > 5"
45,Why do cacti have thick stems?,Cacti have thick stems to make them taller than other plants.,Cacti have thick stems to store water allowing them to survive in dry desert environments.,Grade 5,Science,Habitat and adaptation confusion,Almost there! Height is not why cacti have thick stems. Cacti live in very dry deserts where water is scarce. Their thick stems store large amounts of water so the plant can survive long periods without rain. Remember: cactus thick stem = water storage for desert survival!,"It is a way to get the water in it. You are not and you can do that for all of them! They will be more than other plants, so they may have as long or less when there's just one plant at an area on your body which has only about two leaves from each place with its side: because this means we make up by being very small like what was left over (no matter how large). The first part would look different but also go back down into their form"
40,What is a habitat?,A habitat is the food an animal eats.,"A habitat is the natural environment where an organism lives, including its shelter food and water sources.",Grade 3,Science,Habitat and adaptation confusion,Good try! Food is part of a habitat but a habitat is much more than just food. It is the complete natural home of an animal including where it sleeps finds water and raises its young. Remember: habitat = the complete natural home of an organism!,"It is a habitat. The food and water are in the environment that it has to be for an animal, which will not have all of this! You can do so on at one place: there's just as you get when they go out with them because we make up what was like by your body or from its shelter (no animals). This means more than only where each other does but also how many things take over into different places- no matter who comes down through their land"
23,What is gravity?,Gravity is a force that pushes things up into the sky.,Gravity is a force that pulls all objects toward the center of the Earth.,Grade 4,Science,Gravity and force confusion,Good effort! Gravity actually does the opposite of pushing things up. It is a pulling force that draws all objects downward toward the center of the Earth. That is why things fall when you drop them. Remember: gravity pulls everything down toward Earth!,"It is a force that can be in the sky. You are and it will not have to get up from there! The air has for all of your things, so you's just as we do when they go on with one or both by at this point: an area which makes them look like more than what was left over into their body (no part) but only about how many objects were made out"
81,Solve: 3x = 18.,x = 15.,x = 6.,Grade 6,Math,Basic algebra error,Good effort! 3x = 18 means 3 times x equals 18. To find x divide both sides by 3: x = 18 ÷ 3 = 6. You may have subtracted 3 from 18 instead of dividing. Remember: to cancel multiplication divide both sides by the same number!,You are not a first. It is in the form of 2 and 1: 3 + 4 = 7!
11,What does the stomach do?,The stomach sends messages to the brain.,The stomach breaks down food using acids and enzymes.,Grade 4,Science,Confusion between body organs/functions,Good effort! Sending messages to the brain is the job of the nervous system not the stomach. The stomach is part of the digestive system and it breaks down the food you eat using special acids and enzymes. Remember: stomach = digesting food!,"It is a form of the body. You are not in it and you can do that! The stomach does so to make food for ons, which means there will be no water at all when they get into your head or back with one side as well: we go up from an area by this place because just have more than 1 part (no 2 = 4 + 3 * 5)"
1,What do plants need to make their own food?,Plants only need water to make food.,"Plants need sunlight, water, and carbon dioxide to make food.",Grade 4,Science,Misunderstanding of photosynthesis,Good try! You remembered water which is correct. However plants need three things not just one. They also need sunlight for energy and carbon dioxide from the air. Remember: sunlight + water + carbon dioxide = food for the plant!,"It is a way to make food. You have the water and air in it so you can do that! The plants are not there for all of them, but they will be on your body as we get at this time with one or more things from each place (so an area) has just about two people by 1: 2 = 4 + 3 * 5 > 10"
